Атꙋнчѣ ЇС дꙋс фꙋ де дꙋχꙋл ꙟпꙋстїе, съсѫ испитѣскѫ де дїаволꙋл.	Atunci Iisus a fost dus de Duhul în pustiu, ca să fie ispitit de către diavolul.
Чинстѣще пре татъл тъꙋ ши пре мꙋма, ши юбѣще пре прїѧтинꙋль тъꙋ, ка ꙟсꙋц пре тине.	Cinstește pe tatăl tău și pe mama ta și să iubești pe aproapele tău ca pe tine însuți.
Зисе лꙋи тинърꙋль: тоате ачѣстѧ лѣмь пъζить динь тинерѣцеле мѣле, дарѫ ꙟкѫ ченам испръвит?	Zis-a lui tânărul: Toate acestea le-am păzit din copilăria mea. Ce-mi mai lipsește?
Зисе ЇС лꙋи: де веи съле ꙟпли тоате, пасѫ, винде тот че аи, ши дѫ сърачилор, ши веи авѣ комоарѫ ꙟчерю; ши вино де ꙟблѫ дꙋпѫ мине.	Iisus i-a zis: Dacă voiești să fii desăvârșit, du-te, vinde averea ta, dă-o săracilor și vei avea comoară în cer; după aceea, vino și urmează-Mi.
Дарѫ аꙋζинд тинерꙋл ачел кꙋвънт, съ дꙋсе ꙟтристат, кѫ авѣ бꙋнътате мꙋлтѫ.	Ci, auzind cuvântul acesta, tânărul a plecat întristat, căci avea multe avuții.
Ѩрѫ ЇС ζисе ѹченичилѡрь съи: адевърь ζик воаѡ, кѫ ла невое ва ꙟтра богатꙋл ꙟтрꙋ ꙟпъръцїѧ черюрелѡр.	Iar Iisus a zis ucenicilor Săi: Adevărat zic vouă că un bogat cu greu va intra în împărăția cerurilor.
Дарѫ ѩрѫ вѫ ζик воаѡ: маи лесни ѧсте къмилеи пре ꙟ ѹрѧкѣ акꙋлꙋи а трѣче, декът богатꙋл ꙟтрꙋ ꙟпъръцїѧ лꙋи дꙋмнеѕъꙋ а ꙟтра.	Și iarăși zic vouă că mai lesne este să treacă cămila prin urechile acului, decât să intre un bogat în împărăția lui Dumnezeu.
Аꙋζинд, ачѣстѣ ѹченичїи лꙋи съ мирарѫ ζикънд: дарѫ чине съва пꙋтѣ спъси?	Auzind, ucenicii s-au uimit foarte, zicând: Dar cine poate să se mântuiască?
Къꙋтънд ЇС, ζисе лѡр: де ла ѡамеи ачаста нꙋ поате фи ѩрѫ дела дꙋмнеζъꙋ тоате сѫ пот.	Dar Iisus, privind la ei, le-a zis: La oameni aceasta e cu neputință, la Dumnezeu însă toate sunt cu putință.
Атꙋнчѣ ръспꙋнζънд пътрꙋ, ζисе лꙋи: ѩка нои ам лъсать тоате, ши ам венит дꙋпѫ тине, дарѫ че не ва фи ноаѡ?	Atunci Petru, răspunzând, I-a zis: Iată noi am lăsat toate și Ți-am urmat Ție. Cu noi oare ce va fi?
Дарѫ ЇС зисе лѡр: адевър ζик воаѡ, кѫ вои карїи аци венить дꙋпѫ мине, ꙟнащерѣ де ноꙋ, къндва шъдѣ фїюль ѡменескь спре скаꙋнꙋль славеи сале, шъдѣвец ши вои спре доаѡспръζѣче скаꙋне, џюдекънд чѣле доаѡспръζѣче рꙋде але лꙋи иζраиль.	Iar Iisus le-a zis: Adevărat zic vouă că voi cei ce Mi-ați urmat Mie, la înnoirea lumii, când Fiul Omului va ședea pe tronul slavei Sale, veți ședea și voi pe douăsprezece tronuri, judecând cele douăsprezece seminții ale lui Israel.
Ши фїе чине кареле ва лѫса каса, аꙋ фрацїи, аꙋ сꙋрориле, аꙋ пре татѫ съꙋ, аꙋ пре мꙋмѫ са,аꙋ мꙋѧрѣ аꙋ фечорїи, аꙋ ѹрикꙋл лꙋи, пентрꙋ нꙋмеле мїеꙋ де ѡсꙋтѫ де ѡри атъта ва лꙋа, ши вїаца вѣчилѡрь ва мощени.	Și oricine a lăsat case sau frați, sau surori, sau tată, sau mamă, sau femeie, sau copii, sau țarine, pentru numele Meu, înmulțit va lua înapoi și va moșteni viața veșnică.
Кѫ мꙋлц ворфи чеи динтъи, апои, ши чеи деапои ꙟтъи.	Și mulți dintâi vor fi pe urmă, și cei de pe urmă vor fi întâi.
Кѫ асѣменѣ ѧсте ꙟпъръцїѧ черюрелѡрь, ѹмꙋлꙋи късъторю, кареле еши линсь деминѣцѫ съ токмѣскъ лꙋкрътѡри ꙟвїѧ са.	Căci împărăția cerurilor este asemenea unui om stăpân de casă, care a ieșit dis-de-dimineață să tocmească lucrători pentru via sa.
Дечи токминдꙋсѫ кꙋ лꙋкръторїи, кътеѹн денарь пре ζи, тримисе пре еи ꙟвїѧ са.	Și învoindu-se cu lucrătorii cu un dinar pe zi, i-a trimis în via sa.
Ши Ешиндь ла ал треиле чась, въζꙋ пре алцїи стъндь ꙟтъргь фърѫ лꙋкрꙋ.	Și ieșind pe la ceasul al treilea, a văzut pe alții stând în piață fără lucru.
Ши ачелора ζисе: мѣрџец ши вои ꙟ вїе, ши че аръ фи дерепт вою да воаѡ.	Și le-a zis acelora: Mergeți și voi în vie, și ce va fi cu dreptul, vă voi da.
Дарѫ Еи мѣрсърѫ. ѩрѫ Еши ꙟналшаселе ши алноаѡле чась фѣче ашиждерѣ.	Iar ei s-au dus. Ieșind iarăși pe la ceasul al șaselea și al nouălea, a făcut tot așa.
Дечи Ешиндь ꙟнал ѹн спръζѣчеле чась, афлѫ пре алцїи, стънд фърѫ лꙋкрꙋ, ши ζисе лѡрь: Че стац ачичѣ тоатѫ ζꙋѡа фърѫ лꙋкрꙋ?	Ieșind pe la ceasul al unsprezecelea, a găsit pe alții, stând fără lucru, și le-a zis: De ce ați stat aici toată ziua fără lucru?
Зисѫрѫ лꙋи: кѫ ниме пре нои наꙋ токмить. ζисе лѡрь: мѣрџеци ши вои ꙟвїе ши че ва фи дерепт вец лꙋа.	Zis-au lui: Fiindcă nimeni nu ne-a tocmit. Zis-a lor: Duceți-vă și voi în vie și ce va fi cu dreptul veți lua.
Ѩрѫ фїиндь сара, ζисе: домнꙋль вїеи виѩшꙋлꙋи съꙋ , кїамѫ пре лꙋкрътори ши ле плътѣще лѡр плата, ꙟчепъндь дела чеи де апои, пънѫ ла чеи динтъи.	Făcându-se seară, stăpânul viei a zis către îngrijitorul său: Cheamă pe lucrători și dă-le plata, începând de cei din urmă până la cei dintâi.
Ши дѣка венирѫ карїи венисѫ ꙟн ал ѹньспръζѣчеле час, ши лꙋарѫ ѹнꙋл къте ѹн денарю .	Venind cei din ceasul al unsprezecelea, au luat câte un dinar.
Ѩрѫ вїинд ши чеи деꙟтъи, ле пърѣ къ вор лꙋа маи мꙋлть, ши лꙋарѫ ши ачеѧ къте ѹн денарю.	Și venind cei dintâi, au socotit că vor lua mai mult, dar au luat și ei tot câte un dinar.
Ѩрѫ дѣкаи лꙋарѫ, ръпщирѫ спре домнꙋл касеи.	Și după ce au luat, cârteau împotriva stăpânului casei,
Зикънд: ачещѣ де апои ѹн час лꙋкрарѫ, ши ѧи фъкꙋть асѣменѣ кꙋ нои, карїи ам пꙋртат греꙋтатѣ зилеи ши ζъдꙋхꙋл.	Zicând: Aceștia de pe urmă au făcut un ceas și i-ai pus deopotrivă cu noi, care am dus greutatea zilei și arșița.
Ѩрѫ Ел, ръспꙋнζънд ζисе ѹнꙋѧ де Еи: соаце нꙋ фак цїе недирептате. Aꙋ нꙋ тѣи токмит ꙟтрꙋн динар кꙋмине?	Iar el, răspunzând, a zis unuia dintre ei: Prietene, nu-ți fac nedreptate. Oare nu te-ai învoit cu mine un dinar?
Ѧц алтъꙋ ши пасѫ, къ вою съ даꙋ честꙋ де апои ка ши цїе.	Ia ce este al tău și pleacă. Voiesc să dau acestuia de pe urmă ca și ție.
Аꙋ нꙋ сѫ каде мїе съ фак чевою врѣ де ꙟлмїеꙋ? Aꙋ пентрачѣѧ ѧсте ѡкюл тъꙋ ръꙋ, къ Еꙋ бꙋн сънть?	Au nu mi se cuvine mie să fac ce voiesc cu ale mele? Sau ochiul tău este rău, pentru că eu sunt bun?
Ашѧ вор фи чеи де апои, ꙟтъи ши чеи дентъи маи апои, къ мꙋлци сънт кемац, че пꙋцини алеши.	Astfel vor fi cei de pe urmă întâi și cei dintâi pe urmă, că mulți sunt chemați, dar puțini aleși.
Ши сꙋинд ЇС ꙟ Еросалим, лꙋѡ пре чеи доиспръζѣче ѹченич ꙟшиш пре кале ши зисе лѡ:.	Și suindu-Se la Ierusalim, Iisus a luat de o parte pe cei doisprezece ucenici și le-a spus lor, pe cale:
Ѩтѫ къ сꙋим ꙟЕросалим, ши фїюл ѡменеск ꙟл вор да попилѡр челѡр мари, ши къртꙋларилѡр, шил вѡр џюдека спре моарте.	Iată ne suim la Ierusalim și Fiul Omului va fi dat pe mâna arhiereilor și a cărturarilor, și-L vor osândi la moarte;
Шил вор да пре Ель пъгънилѡр сълбатџїѡкꙋрѣскѫ ши съл батѫ, ши съл ръстигнѣскѫ, ши а треѧζи ва ꙟвїѧ.	Și Îl vor da pe mâna păgânilor, ca să-L batjocorească și să-L răstignească, dar a treia zi va învia.
Атꙋнчи съ апропїе де Ель мꙋма фечорилорь лꙋи зеведею, кꙋ фечорїи съи, ꙟкинъндꙋсѫ ши чеинд ѡарече дела Ель.	Atunci a venit la El mama fiilor lui Zevedeu, împreună cu fiii ei, închinându-se și cerând ceva de la El.
Дарѫ Ель ζисе Еи: че веи ? зесе лꙋи: зи съшаζѫ ачещ дѡи фечори аи мїеи, ѹнꙋл дѣ дирѣпта та, ши алтꙋл дѣ стънга, ꙟтрꙋ ꙟпъръцїа та.	Iar El a zis ei: Ce voiești? Ea a zis Lui: Zi ca să șadă acești doi fii ai mei, unul de-a dreapta 1i altul de-a stânga Ta, întru împărăția Ta.
Ѩрѫ ръспꙋнζънд Їс, зисе:'нꙋ щиц че чѣрец. пꙋтѣвец сѣ пъхарꙋль кареле Еꙋ ам албѣ ши кꙋ ботезꙋль кареле Еꙋ мѫ вою ботеζа ботеζавѫвец? зисърѫ лꙋи пꙋтѣвом.	Dar Iisus, răspunzând, a zis: Nu știți ce cereți. Puteți, oare, să beți paharul pe care-l voi bea Eu și cu botezul cu care Eu Mă botez să vă botezați? Ei I-au zis: Putem.
Атꙋнчи зисе лѡр: ѩтѫ пъхарꙋль мїеꙋ веци бѣ, ши кꙋ ботеζꙋл кꙋ кареле Еꙋ мѫ вою ботеζа, вѫ вец ботеζа. Дарѫ ашъдѣ дѣ дерѣпта мѣ ши дѣстънга мѣ, нꙋ ѧсте мїе сѫ даꙋ, че сѫ ва да кърора лїе гътитѫ дела татъл мїеꙋ.	Și El a zis lor: Paharul Meu veți bea și cu botezul cu care Eu Mă botez vă veți boteza, dar a ședea de-a dreapta și de-a stânga Mea nu este al Meu a da, ci se va da celor pentru care s-a pregătit de către Tatăl Meu.
Ши аꙋζинд ачѣстѣ чеи ζѣче съ мънїарѫ пре чеи дои фраци.	Și auzind cei zece s-au mâniat pe cei doi frați.
Ѩрѫ ЇС кемънд пре Еи, ζисе: щиц кѫ домнїн пъгънилѡр домнескь спре Еи ши пꙋтѣрничїи аꙋ пꙋтѣре спре еи.	Dar Iisus, chemându-i la Sine, a zis: Știți că ocârmuitorii neamurilor domnesc peste ele și cei mari le stăpânesc.
Ѩрѫ ꙟтре вои нꙋ ва фи ашѧ, че кареле аре врѣ ꙟтрꙋ вои съ фїе маи маре, съ фїе воаѡ слꙋгѫ.	Nu tot așa va fi între voi, ci care între voi va vrea să fie mare să fie slujitorul vostru.
Ши чине аре врѣ ꙟтрꙋ вои, афи чел деꙟтъи, съ фїе воаѡ слꙋгѫ.	Și care între voi va vrea să fie întâiul să vă fie vouă slugă,
Кꙋм ши фїю ѡменеск наꙋ венить съи слꙋжаскѫ лꙋи,че съ слꙋжаскѫ Ел ши сѫ дѣ вїѩца лꙋи иζбъвире пентрꙋ мꙋлциме.	După cum și Fiul Omului n-a venit să I se slujească, ci ca să slujească El și să-Și dea sufletul răscumpărare pentru mulți.
Ши Ешинд Еи де ꙟЕрихон, мѣрсе дꙋпѫ ел мꙋлциме мꙋтъ.	Și plecând ei din Ierihon, mulțime mare venea în urma Lui.
Ши ѩка дои ѡрби, шъζъндь лънгѫ кале, аꙋζирѫ кѫ ЇС трѣче, ши стригарѫ зикъндь: доамне фїюль лꙋи Давидь, фиець милѫ де нои.	Și iată doi orbi, care ședeau lângă drum, auzind că trece Iisus, au strigat, zicând: Miluiește-ne pe noi, Doamne, Fiul lui David!
Ѩрѫ мꙋлцимѣ черта пре Еи съ такѫ ѩрѫ Еи маи въртѡс стрига зикънд: доамне фїюл лꙋи Давидь фиец милѫ де нои.	Dar mulțimea îi certa ca să tacă; ei însă și mai tare strigau, zicând: Miluiește-ne pe noi, Doamne, Fiul lui David.
Ши стътꙋ ЇС кемѫ пре еи, ши зисе: че вец съ фак воаѡ?	Și Iisus, stând, i-a chemat și le-a zis: Ce voiți să vă fac?
Зисърѫ лꙋи: доамне, ка сѫ дешкиζь ѡкїи нощри.	Zis-au Lui: Doamne, să se deschidă ochii noștri.
Дечи фъкъндꙋиеѫ милѫ лꙋи Їс, атинсе ѡкїи лѡрь, ши нꙋмаи декъть въζꙋрѫ ши мѣрсърѫ дꙋпѫ Ель.	Și făcându-I-se milă, Iisus S-a atins de ochii lor, și îndată au văzut și I-au urmat Lui.
Ши кънд сѫ апропїѩрѫ кътрѫ Ерꙋсалим, ши венирѫ ꙟбетфагїѧ кътрѫ мꙋнтеле маслинилѡрь, атꙋнчи ЇС тримисе дои ѹченич.	Iar când s-au apropiat de Ierusalim și au venit la Betfaghe la Muntele Măslinilor, atunci Iisus a trimis pe doi ucenici,
Зикънд лѡр: дꙋчецивѫ ꙟчель сътчел кареле ѧсте ꙟнаинтѣ воастрѫ, ши нꙋмаи кът вець афла ѡ асинѫ легатѫ, ши мънζꙋль кꙋ ѧ; деζлегацїѡ ши ѡ адꙋчець.	Zicându-le: Mergeți în satul care este înaintea voastră și îndată veți găsi o asină legată și un mânz cu ea; dezlegați-o și aduceți-o la Mine.
Ши съ аре ζиче воаѡ чинева, ζичеци къ ачѣсте домнꙋлꙋи требꙋескꙋ; ши нꙋмаи декъть ле ва ѩрѫ тремите ѧле.	Și dacă vă va zice cineva ceva, veți spune că-I trebuie Domnului; și le va trimite îndată.
Ачаста пентрачѣѧ фꙋкꙋм със ꙟпле, че ѧсте ζис пре пророк, ζикънд:	Iar acestea toate s-au făcut, ca să se împlinească ceea ce s-a spus prin proorocul, care zice:
Зичец фѣтеи сїѡнꙋлꙋи: ѩка ꙟпъратꙋл тъꙋ вине цїе блънд, ши шъζънд спре асинь, ши де сꙋпра мѫнζꙋлꙋи, а асиннеи ꙟвъцатѫ сꙋпть тѫрхать.	"Spuneți fiicei Sionului: Iată Împăratul tău vine la tine blând și șezând pe asină, pe mânz, fiul celei de sub jug".
Ши мѣрсерѫ ѹченичїи ши фъкꙋрѫ кꙋм ле порꙋнчи лѡр ЇС.	Mergând deci ucenicii și făcând după cum le-a poruncit Iisus,
Ши адꙋсърѫ асина ши мънзꙋл, ши пꙋсърѫ десꙋпра лѡр вешминтеле сале, шил пꙋсърѫ спре ѧле.	Au adus asina și mânzul și deasupra lor și-au pus veșmintele, iar El a șezut peste ele.
